74607,121.95872,25.06539,2014/1/7 下午 12:34:55
74619,121.95834,25.06583,2014/1/7 下午 12:36:23
74634,121.95804,25.06655,2014/1/7 下午 12:37:54
74637,121.95796,25.06668,2014/1/7 下午 12:38:14
74653,121.95753,25.06748,2014/1/7 下午 12:40:19
74662,121.9574,25.06777,2014/1/7 下午 12:40:55
74682,121.95714,25.06831,2014/1/7 下午 12:42:12
74702,121.9567,25.06911,2014/1/7 下午 12:44:11
74719,121.95631,25.06994,2014/1/7 下午 12:46:08
74739,121.95593,25.07077,2014/1/7 下午 12:48:05
74752,121.95557,25.07148,2014/1/7 下午 12:49:55
74771,121.95507,25.07237,2014/1/7 下午 12:52:04
74782,121.95485,25.07273,2014/1/7 下午 12:52:55
74794,121.9546,25.07319,2014/1/7 下午 12:54:05
74813,121.95422,25.07394,2014/1/7 下午 12:55:55
74834,121.95379,25.07484,2014/1/7 下午 12:58:03
74845,121.95353,25.07519,2014/1/7 下午 12:58:55
74863,121.9537,25.07393,2014/1/7 下午 01:00:22
74868,121.95394,25.07301,2014/1/7 下午 01:00:56
74874,121.95438,25.07221,2014/1/7 下午 01:01:35
74893,121.95504,25.07044,2014/1/7 下午 01:02:46
74899,121.95527,25.06953,2014/1/7 下午 01:03:23
74903,121.95542,25.06865,2014/1/7 下午 01:03:56
74910,121.95559,25.06771,2014/1/7 下午 01:04:36
74918,121.95571,25.06714,2014/1/7 下午 01:04:55
74923,121.95581,25.06678,2014/1/7 下午 01:05:08
74932,121.95616,25.0659,2014/1/7 下午 01:05:44
74939,121.95661,25.0651,2014/1/7 下午 01:06:18
74950,121.95732,25.06334,2014/1/7 下午 01:07:36
74955,121.95756,25.06274,2014/1/7 下午 01:07:55
74959,121.95768,25.06249,2014/1/7 下午 01:08:04
74965,121.95794,25.06158,2014/1/7 下午 01:08:37
74975,121.95829,25.06064,2014/1/7 下午 01:09:14
74980,121.9586,25.05975,2014/1/7 下午 01:09:48
74985,121.95898,25.05882,2014/1/7 下午 01:10:24
74992,121.95928,25.05802,2014/1/7 下午 01:10:55
74994,121.95933,25.05792,2014/1/7 下午 01:10:57
75000,121.95978,25.05711,2014/1/7 下午 01:11:36
75010,121.96023,25.05626,2014/1/7 下午 01:12:04
75021,121.9606,25.05541,2014/1/7 下午 01:12:37
75031,121.96098,25.05457,2014/1/7 下午 01:13:08
75037,121.9609,25.05365,2014/1/7 下午 01:13:41
75041,121.96084,25.05325,2014/1/7 下午 01:13:55
75044,121.96079,25.05268,2014/1/7 下午 01:14:14
75048,121.96079,25.0517,2014/1/7 下午 01:14:48
75053,121.96084,25.05078,2014/1/7 下午 01:15:21
75060,121.96093,25.04985,2014/1/7 下午 01:15:51
75079,121.96128,25.04811,2014/1/7 下午 01:16:55
75082,121.96126,25.04803,2014/1/7 下午 01:16:58
75119,121.96042,25.04824,2014/1/7 下午 01:19:55
75125,121.96036,25.04839,2014/1/7 下午 01:20:35
75158,121.96019,25.04914,2014/1/7 下午 01:22:55
75164,121.96016,25.04926,2014/1/7 下午 01:23:22
75194,121.96004,25.0499,2014/1/7 下午 01:25:55
75204,121.96004,25.05015,2014/1/7 下午 01:26:49
75224,121.96007,25.05073,2014/1/7 下午 01:28:55
75237,121.96003,25.05105,2014/1/7 下午 01:30:02
75259,121.95996,25.05151,2014/1/7 下午 01:31:55
75274,121.9599,25.05193,2014/1/7 下午 01:33:36
75346,121.95975,25.05295,2014/1/7 下午 01:37:56
75392,121.95981,25.0519,2014/1/7 下午 01:40:27
75403,121.95989,25.05103,2014/1/7 下午 01:40:55
75404,121.95992,25.05092,2014/1/7 下午 01:40:57
75413,121.96017,25.05002,2014/1/7 下午 01:41:36
75420,121.96047,25.04913,2014/1/7 下午 01:42:02
75427,121.96079,25.04824,2014/1/7 下午 01:42:36
75437,121.96113,25.04728,2014/1/7 下午 01:43:11
